Questions,Count
what'd you study at school,27
have you ever served in the military ,27
have you ever served in the military,27
what do you think of today's kids,27
what advice would you give yourself ten or twenty years ago ,27
what are you most proud of in your life ,26
thanks for sharing your thoughts with me ,26
what do you do when you're annoyed,26
what's the best thing about being a parent,26
what'd you study at school ,25
that sounds like a great situation,25
i'm sorry,25
how do you know them,25
when was the last time you felt really happy ,24
i'm sorry to hear that,24
what would you say are some of your best qualities ,24
have you noticed any changes in your behavior or thoughts lately ,24
that makes sense,24
that's good ,24
what sort of changes have you noticed since you've been going to therapy,23
when was the last time you argued with someone and what was it about ,23
how easy is it for you to get a good night's sleep ,22
what are some things you like to do for fun,22
what's your dream job ,22
do you feel down,21
what were your symptoms,21
what's one of your most memorable experiences ,21
how close are you to your family ,21
have you been diagnosed with depression ,21
right,21
<laughter>,21
tell me about your kids,20
how close are you to them,20
where are you from originally ,20
how are you at controlling your temper ,20
tell me about something you did recently that you really enjoyed ,20
what do you do when you're annoyed ,19
why did you stop,19
tell me more about that ,19
what are some ways that you're different as a parent than your parents,18
i understand,18
do you consider yourself an introvert ,18
what are you like when you don't sleep well ,18
are you still working in that ,17
what are some things that make you really mad ,17
what got you to seek help ,16
that's a long time,16
that's great ,16
are you still doing that,16
how did you decide to do that ,16
hmm,16
okay ,16
are you okay with this ,15
did you think you had a problem before you found out,15
that sucks ,15
when'd you move to l_a,15
do you feel that way often,15
it can be tough to find a good job these days,14
so how are you doing today  ,14
how hard is that ,13
what do you enjoy about traveling ,13
what do you do to relax ,12
i love my job you could almost say it's virtually made for me what's your dream job,12
oh no,12
i'd love to hear about one of your trips ,12
goodbye ,12
how do you like your living situation,12
that sounds interesting,12
how do you cope with them ,12
can you tell me about that ,12
is there anything you regret ,12
tell me about that,12
can you give me an example of that ,11
i see,11
how long ago were you diagnosed ,11
is going to a therapist helping you,11
that sounds like a great situation ,11
uh huh ,11
<laughter> ,10
are they triggered by something ,10
that sounds really hard ,10
let's come back to that later,10
could you say a little more about that,10
i'm sorry to hear that ,10
do you travel a lot ,10
you were very young weren't you,10
how has seeing a therapist affected you,10
what are some things that usually put you in a good mood ,9
did you think you had a problem before you found out ,9
do you have disturbing thoughts,9
what was it about,9
how did you feel in that moment ,8
what are some things you like to do for fun ,8
let's come back to that later ,8
that's so good to hear ,8
do you feel like therapy's useful ,8
how often do you go back to your home town,8
there are always trade offs in life aren't there,8
do you have roommates,8
why don't we talk about that later,8
is it uncomfortable for you to talk about this,8
how are you doing today,7
when was the last time that happened ,7
how do you know them ,7
do you feel like therapy's useful,7
do you think that maybe you're being a little hard on yourself,7
i see what you mean ,7
do you still go to therapy now ,7
what's it like for you living with them,7
why did you stop ,7
okay so how are you doing today,6
have you ever been diagnosed with p_t_s_d ,6
i'd love to hear all about it,6
what's the hardest thing about being a parent ,6
what did you do after the military,6
how did serving in the military change you,6
where do you live,6
what's the best thing about being a parent ,6
what do you do now ,6
okay i think i've asked everything i need to ,6
what do you think of today's kids ,6
are you happy you did that ,6
do you find it easy to be a parent ,6
i'm sorry ,6
what were your symptoms ,5
how old were you when you joined the military,5
what sort of changes have you noticed since you've been going to therapy ,5
is it uncomfortable for you to talk about this ,5
what made you decide to do that ,5
could you have done anything to avoid it ,5
i'm great thanks,5
what are some things you really like about l_a ,5
there are always trade-offs in life aren't there,5
that sounds interesting ,5
really ,4
did you ever see combat,4
what are some things you don't really like about l_a ,4
has that gotten you in trouble ,4
okay so how are you doing today  ,4
how often do you go back to your hometown ,4
how do you like your living situation ,4
how has seeing a therapist affected you ,4
i'd love to hear all about it ,4
how close are you to them ,4
what do you do when you are annoyed,4
why ,4
oh my gosh,4
so how are you doing today ,3
is going to a therapist helping you ,3
like what ,3
yeah i see what you mean ,3
how easy was it for you to go back to civilian life,3
can you tell me more about that,3
tell me about that ,3
thanks it was great chatting with you,3
are you still doing that ,3
uh oh ,3
aww,3
how easy was it for you to get used to living in l_a ,3
why'd you decide to enlist in the military,3
oh,3
when was the last time you argued with someone and what was it about  ,3
do you feel down ,3
that's a long time ,2
why'd you move to l_a ,2
whatever comes to your mind ,2
yeah i'm sorry to hear that,2
thank you,2
do you feel that way often ,2
awesome ,2
why why,2
that's good where are you from originally ,2
do you consider yourself an introvert  ,2
you were very young weren't you ,2
how do you like l_a,2
me too,2
i'm ellie,2
i understand ,2
yeah that sucks,2
yeah i understand,2
do you have roommates ,2
tell me about your kids ,2
okay i think i've asked everything i need to thanks for sharing your thoughts with me ,2
that makes sense ,2
what are some things you like to do for fun who's someone that's been a positive influence in your life ,1
how easy is it for you to get a good night sleep,1
 when was the last time you argued with someone and what was it about,1
did you ever see combat ,1
do you think that maybe you're being a little hard on yourself ,1
how would you best friend describe you ,1
yeah how hard is that,1
okay what's the best thing about being a parent,1
okay could you have done anything to avoid it,1
what are you,1
i see ,1
could you have done anything to avoid it  ,1
mhm how did you decide to do that ,1
really me too,1
awesome how did you decide to do that ,1
that's great i'd love to hear all about it,1
mhm i see what you mean ,1
that's good what do you think of today's kids ,1
and please feel free to tell me anything your answers are totally confidential are you okay with this ,1
uh oh,1
how has seeing a therapist affected you  ,1
 what do you do to relax,1
it can be tough to find a good job these days ,1
<laughter> can you give me an example of that,1
yeah how hard is that ,1
what did you do after the military ,1
<laughter> do you travel a lot,1
yeah i see what you mean,1
where do you live ,1
<laughter> i see what you mean ,1
<laughter> okay ,1
thank you ,1
how often do you go back to your home town ,1
there are always tradeoffs in life aren't there,1
uh huh uh huh ,1
how did serving in the military change you ,1
yeah what do you enjoy about traveling,1
wow ,1
why don't we talk about that later ,1
yeah that sounds really hard ,1
yeah there are always tradeoffs in life aren't there ,1
nice are you still doing that,1
how often to you go back to your home town ,1
 when was the last time you felt really happy,1
do you consider yourself and introvert,1
what made you decide to go and see someone,1
<research assistant speaking>,1
what are some things that usually put you in a good mood  ,1
how old were you when you joined the military ,1
i am from l_a,1
cool ,1
could you say a little more about that ,1
that's good where are you from originally,1
what are some things that make you really mad  ,1
goodbye goodbye ,1
how easy is it for you to get a good night's sleep  ,1
<laughter> could you say a little more about that,1
what advice would you give yourself ten or twenty years ago  ,1
yes ,1
mhm what are some things you don't really like about l_a,1
hm,1
 who's someone that's been a positive influence in your life ,1
goodbye  ,1
how easy was it for you to go back to civilian life ,1
uh huh uh huh uh huh is there anything you regret is there anything you regret,1
yeah i'm sorry to hear that ,1
oh ,1
goodbye goodbye,1
who's someone that's been a positive influence in  your life,1
