0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6877775985,5.8989770946
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6931353013,5.8986501338
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6931353013,5.8986501338
0.7 0.3,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.6964093133,5.5904892151
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.6964093133,5.5904892151
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.6964093133,5.5904892151
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.6964093133,5.5904892151
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 31.622776601683793},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1000.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 31.622776601683793},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1000.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 31.622776601683793},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1000.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 31.622776601683793},6.6988174389,5.8986964663
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6988174389,5.8986964663
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.7216560294,5.4081594553
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.7216560294,5.4081594553
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.7216560294,5.4081594553
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7216560294,5.4081594553
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.7583923785,5.2475059523
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.7583923785,5.2475059523
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.7583923785,5.2475059523
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7583923785,5.2475059523
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.7638023737,5.5653320419
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.7638023737,5.5653320419
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.7638023737,5.5653320419
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.7638023737,5.5653320419
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.8128447398,5.3706117797
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.8128447398,5.3706117797
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.8128447398,5.3706117797
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.8128447398,5.3706117797
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.8573457067,5.0226224478
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.8711012929,5.2013019536
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.8711012929,5.2013019536
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.8711012929,5.2013019536
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1000.0},6.8711012929,5.2013019536
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.8818529224,5.0097629911
0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.9137556066,5.0021293178
