0.7 0.3,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 31.622776601683793},6.6486238725,5.5253128603
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1000.0},6.6986704286,5.8980593712
0.7 0.3,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.698832779,5.739031815
0.7 0.3,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7008346533,5.7480801551
0.7 0.3,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.7018139869,5.6296210439
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.7027824565,5.7899635683
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.7038748536,5.7962493207
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 1.0},6.7045938195,5.6060942681
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.7050015121,5.707283539
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.7062799926,5.4765048396
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 1.0},6.7076038643,5.6223666728
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.7085770169,5.4976137889
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.7190054512,5.6926734558
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 1.0},6.7190830486,5.758507198
0.5 0.5,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.7194793005,5.4527051808
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 1.0},6.7195377394,5.7619044068
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.7201084873,5.6982901871
0.5 0.5,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.7207067266,5.4717769374
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 1.0},6.7211620519,5.7104282149
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.722813001,5.6201230372
0.5 0.5,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.7290862017,5.6590239444
0.5 0.5,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7301809615,5.6645451425
0.5 0.5,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.7332277201,5.5883912341
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.031622776601683791},6.7452603984,5.5071024646
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.031622776601683791},6.7473577613,5.5211205377
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.031622776601683791},6.751898034,5.635215321
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.031622776601683791},6.7523616137,5.6380277196
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.031622776601683791},6.7552993054,5.5958293783
0.3 0.7,{'normalize': True, 'alpha': 0.001},{'normalize': True, 'alpha': 0.001},6.7673290616,5.473281482
0.3 0.7,{'normalize': True, 'alpha': 0.031622776601683791},{'normalize': True, 'alpha': 0.001},6.7685312228,5.4856020687
0.3 0.7,{'normalize': True, 'alpha': 31.622776601683793},{'normalize': True, 'alpha': 0.001},6.7713625654,5.5930238292
0.3 0.7,{'normalize': True, 'alpha': 1000.0},{'normalize': True, 'alpha': 0.001},6.7718192827,5.5957478271
0.3 0.7,{'normalize': True, 'alpha': 1.0},{'normalize': True, 'alpha': 0.001},6.775037625,5.5553283379
