Questions	Count	Label
oh my gosh	4	#ack
so how are you doing today	3	#non_int
is going to a therapist helping you	3	#follow_up
like what	3	#follow_up
yeah i see what you mean	3	#ack
thanks it was great chatting with you	3	#ack
can you tell me more about that	3	#follow_up
tell me about that	3	#follow_up
are you still doing that	3	#follow_up
uh oh	3	#ack
aww	3	#ack
how easy was it for you to get used to living in l_a	3	#non_int
oh	3	#ack
when was the last time you argued with someone and what was it about	3	#int
do you feel down	3	#int
that's a long time	2	#ack
why'd you move to l_a	2	#non_int
whatever comes to your mind	2	#follow_up
thank you	2	#ack
do you feel that way often	2	#follow_up
why why	2	#follow_up
that's good where are you from originally	2	#non_int
do you consider yourself an introvert	2	#int
you were very young weren't you	2	#follow_up
how do you like l_a	2	#non_int
me too	2	#ack
i'm ellie	2	#ack
i understand	2	#ack
yeah that sucks	2	#ack
yeah i understand	2	#ack
do you have roommates	2	#non_int
yeah i'm sorry to hear that	2	#ack
tell me about your kids	2	#int
okay i think i've asked everything i need to thanks for sharing your thoughts with me	2	#ack
that makes sense	2	#ack
what are some things you like to do for fun who's someone that's been a positive influence in your life	1	#int
how easy is it for you to get a good night sleep	1	#int
when was the last time you argued with someone and what was it about	1	#int
did you ever see combat	1	#non_int
do you think that maybe you're being a little hard on yourself	1	#int
how would you best friend describe you	1	#int
what advice would you give yourself ten or twenty years ago	1	#int
yeah how hard is that	1	#follow_up
okay what's the best thing about being a parent	1	#int
<research assistant speaking>	1	#ack
what are you	1	#follow_up
i see	1	#ack
could you have done anything to avoid it	1	#follow_up
mhm how did you decide to do that	1	#follow_up
really me too	1	#ack
awesome how did you decide to do that	1	#follow_up
wow	1	#ack
that's great i'd love to hear all about it	1	#follow_up
mhm i see what you mean	1	#ack
yeah i'm sorry to hear that	1	#ack
that's good what do you think of today's kids	1	#non_int
yes	1	#ack
okay could you have done anything to avoid it	1	#follow_up
and please feel free to tell me anything your answers are totally confidential are you okay with this	1	#ack
uh oh	1	#ack
how has seeing a therapist affected you	1	#follow_up
what do you do to relax	1	#int
there are always tradeoffs in life aren't there	1	#follow_up
<laughter> can you give me an example of that	1	#follow_up
yeah how hard is that	1	#follow_up
what did you do after the military	1	#follow_up
<laughter> do you travel a lot	1	#non_int
yeah i see what you mean	1	#ack
where do you live	1	#non_int
<laughter> i see what you mean	1	#ack
who's someone that's been a positive influence in your life	1	#int
<laughter> okay	1	#ack
thank you	1	#ack
how often do you go back to your home town	1	#non_int
it can be tough to find a good job these days	1	#ack
uh huh uh huh	1	#ack
how did serving in the military change you	1	#int
yeah what do you enjoy about traveling	1	#non_int
why don't we talk about that later	1	#follow_up
yeah that sounds really hard	1	#ack
yeah there are always tradeoffs in life aren't there	1	#follow_up
nice are you still doing that	1	#follow_up
how often to you go back to your home town	1	#non_int
when was the last time you felt really happy	1	#int
do you consider yourself and introvert	1	#int
what made you decide to go and see someone	1	#follow_up
how old were you when you joined the military	1	#follow_up
i am from l_a	1	#ack
cool	1	#ack
could you say a little more about that	1	#follow_up
that's good where are you from originally	1	#non_int
what are some things that make you really mad	1	#int
goodbye goodbye	1	#ack
how easy is it for you to get a good night's sleep	1	#int
<laughter> could you say a little more about that	1	#follow_up
mhm what are some things you don't really like about l_a	1	#non_int
goodbye goodbye	1	#ack
hm	1	#ack
goodbye	1	#ack
how easy was it for you to go back to civilian life	1	#follow_up
uh huh uh huh uh huh is there anything you regret is there anything you regret	1	#int
what are some things that usually put you in a good mood	1	#int
oh	1	#ack
who's someone that's been a positive influence in  your life	1	#int
