Feature		P-value		F-value
13adverb_(Adverbs)		0.650138978748		0.205826893688
14conj_(Conjunctions)		0.892396933542		0.0183061330052
15negate_(Negations)		0.927369414648		0.00831268064548
othergram_(Other_Grammar)		0.178250836617		1.81424298212
20verb_(Verbs)		0.251225648374		1.31772887388
21adj_(Adjectives)		0.142522398447		2.15329783293
22compare_(Comparisons)		0.0669987586049		3.3610713616
23interrog_(Interrogatives)		0.150672549541		2.06803245709
24number_(Numbers)		0.780955356722		0.0773595261181
25quant_(Quantifiers)		0.14834376475		2.09185382105
30affect_(Affect)		0.87396177278		0.0251735212584
31posemo_(Positive_Emotions)		0.0197850843458		5.44513446654
32negemo_(Negative_Emotions)		0.687212975971		0.162196508811
33anx_(Anx)		0.380322180722		0.770220126345
34anger_(Anger)		0.00432466974615		8.17286811147
35sad_(Sad)		0.995593306146		3.05160617847e-05
40social_(Social)		0.559976089616		0.339932698424
41family_(Family)		0.501412890056		0.452214411036
42friend_(Friends)		0.604779222639		0.267987263897
43female_(Female)		0.82333939304		0.0498629524597
44male_(Male)		0.0228619839445		5.19213326041
50cogproc_(Cognitive_Processes)		0.0064288908717		7.45174803751
51insight_(Insight)		0.117164500857		2.45830943314
52cause_(Causal)		0.895830463662		0.0171499026087
53discrep_(Discrepancies)		0.756046955714		0.0965630608803
54tentat_(Tentative)		0.0301456115676		4.71199896278
55certain_(Certainty)		0.767825981257		0.087193665148
56differ_(Differentiation)		0.241620005779		1.37245400035
60percept_(Perceptual_Processes)		0.238300281277		1.39198770384
61see_(See)		0.701855065489		0.146618310676
62hear_(Hear)		0.58773882754		0.294045677767
63feel_(Feel)		0.178743380342		1.81012895938
70bio_(Biological_Processes)		0.129934436368		2.29639374896
71body_(Body)		0.0659965209115		3.38597862107
72health_(Health)		0.298923410296		1.07991309936
73sexual_(Sexual)		0.542035608723		0.371989615565
74ingest_(Ingest)		0.623797132291		0.240689326282
80drives_(Drives)		0.217962163095		1.51930891998
81affiliation_(Affiliation)		0.764972329064		0.0894157115581
82achieve_(Achievement)		0.734725168025		0.11486973396
83power_(Power)		0.969249518691		0.0014866800557
84reward_(Reward)		0.214571220756		1.54192187417
85risk_(Risk)		0.608098336047		0.26308990905
timeorient_(Time_Orientation)		0.100289670416		2.70504246339
90focuspast_(Past_Focus)		0.625865074541		0.237830797175
91focuspresent_(Present_Focus)		0.272513669241		1.20514126953
92focusfuture_(Future_Focus)		0.138856821724		2.19345654517
100relativ_(Relativity)		0.266126601316		1.23774084633
101motion_(Motion)		0.929898929319		0.0077422779165
102space_(Space)		0.464076560788		0.536383158516
103time_(Time)		0.292134725175		1.1107197913
persconc_(Personal_Concerns)		0.0453768842268		4.01282332291
110work_(Work)		0.756067705659		0.0965460954259
111leisure_(Leisure)		0.960183681563		0.00249334107633
112home_(Home)		0.417910757195		0.656629637135
113money_(Money)		0.127318075395		2.3280831556
114relig_(Religion)		0.0774183342035		3.12356546181
115death_(Death)		0.16959359233		1.88877133496
120informal_(Informal_Language)		0.743176252147		0.107403428679
121swear_(Swear)		0.067555752388		3.34740088587
122netspeak_(Netspeak)		0.266499966765		1.23580841143
